Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC09_L2SP_231058_20220906_20230330_02_T1,LC09_L1TP_231058_20220906_20230330_02_T1,LC92310582022249LGN01,2022/09/06,T1,2, 231, 058, 231, 058,NADIR,   0.000,2023/03/30,2023/03/30,2022-09-06 14:11:18,2022-09-06 14:11:49,LGN,DAY,  46.49,  46.49,310,5,    7.776,    5.625,    5.369,LPGS_16.2.0,63.83643215,81.57654642,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,21,WGS84,WGS84,2°53'33.58"N,59°20'00.96"W,3°56'12.66"N,60°21'41.80"W,3°56'33.47"N,58°18'34.70"W,1°50'13.34"N,60°21'19.58"W,1°50'23.06"N,58°18'26.03"W,  2.89266, -59.33360,  3.93685, -60.36161,  3.94263, -58.30964,  1.83704, -60.35544,  1.83974, -58.30723,LC09_L2SP_231058_20220906_20230330_02_T1,LC92310582022249LGN01
LC09_L2SP_232058_20220913_20230329_02_T1,LC09_L1TP_232058_20220913_20230329_02_T1,LC92320582022256LGN01,2022/09/13,T1,2, 232, 058, 232, 058,NADIR,   0.000,2023/03/29,2023/03/29,2022-09-13 14:17:31,2022-09-13 14:18:03,LGN,DAY,  69.85,  69.85,131,5,    8.168,    5.831,    5.720,LPGS_16.2.0,64.62442883,87.56981403,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,20,WGS84,WGS84,2°53'33.25"N,60°52'53.40"W,3°56'15.04"N,61°54'16.96"W,3°55'56.21"N,59°51'18.54"W,1°50'33.32"N,61°54'24.19"W,1°50'24.54"N,59°51'39.24"W,  2.89257, -60.88150,  3.93751, -61.90471,  3.93228, -59.85515,  1.84259, -61.90672,  1.84015, -59.86090,LC09_L2SP_232058_20220913_20230329_02_T1,LC92320582022256LGN01
LC08_L2SP_231058_20220914_20220922_02_T1,LC08_L1TP_231058_20220914_20220922_02_T1,LC82310582022257LGN00,2022/09/14,T1,2, 231, 058, 231, 058,NADIR,  -0.001,2022/09/22,2022/09/22,2022-09-14 14:11:42,2022-09-14 14:12:14,LGN,DAY,  40.83,  40.83,227,5,    8.317,    6.152,    5.597,LPGS_16.1.0,64.78769453,88.46070073,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'34.84"N,59°21'14.29"W,3°56'12.34"N,60°22'59.48"W,3°56'33.32"N,58°19'52.50"W,1°50'13.20"N,60°22'37.13"W,1°50'22.99"N,58°19'43.68"W,  2.89301, -59.35397,  3.93676, -60.38319,  3.94259, -58.33125,  1.83700, -60.37698,  1.83972, -58.32880,LC08_L2SP_231058_20220914_20220922_02_T1,LC82310582022257LGN00
LC08_L2SP_232058_20220921_20220929_02_T1,LC08_L1TP_232058_20220921_20220929_02_T1,LC82320582022264LGN00,2022/09/21,T1,2, 232, 058, 232, 058,NADIR,   0.000,2022/09/29,2022/09/29,2022-09-21 14:17:54,2022-09-21 14:18:26,LGN,DAY,  25.45,  25.45,393,5,    8.373,    5.887,    5.954,LPGS_16.1.0,65.28436306,94.94623973,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'34.19"N,60°54'04.61"W,3°56'24.90"N,61°55'25.03"W,3°56'06.25"N,59°52'36.19"W,1°50'23.60"N,61°55'32.16"W,1°50'14.93"N,59°52'56.82"W,  2.89283, -60.90128,  3.94025, -61.92362,  3.93507, -59.87672,  1.83989, -61.92560,  1.83748, -59.88245,LC08_L2SP_232058_20220921_20220929_02_T1,LC82320582022264LGN00
LC09_L2SP_231058_20220922_20230328_02_T1,LC09_L1TP_231058_20220922_20230328_02_T1,LC92310582022265LGN01,2022/09/22,T1,2, 231, 058, 231, 058,NADIR,   0.000,2023/03/28,2023/03/28,2022-09-22 14:11:25,2022-09-22 14:11:56,LGN,DAY,  27.83,  27.83,385,5,    6.755,    4.716,    4.836,LPGS_16.2.0,65.26633652,95.87301670,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,21,WGS84,WGS84,2°53'34.37"N,59°20'36.92"W,3°56'12.52"N,60°22'20.64"W,3°56'33.40"N,58°19'13.58"W,1°50'13.27"N,60°21'58.36"W,1°50'23.03"N,58°19'04.87"W,  2.89288, -59.34359,  3.93681, -60.37240,  3.94261, -58.32044,  1.83702, -60.36621,  1.83973, -58.31802,LC09_L2SP_231058_20220922_20230328_02_T1,LC92310582022265LGN01
LC09_L2SP_232058_20220929_20230329_02_T1,LC09_L1TP_232058_20220929_20230329_02_T1,LC92320582022272LGN02,2022/09/29,T1,2, 232, 058, 232, 058,NADIR,   0.000,2023/03/29,2023/03/29,2022-09-29 14:17:37,2022-09-29 14:18:08,LGN,DAY,   8.64,   8.64,517,5,    8.004,    5.919,    5.388,LPGS_16.2.0,65.41060202,102.56272135,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,20,WGS84,WGS84,2°53'33.58"N,60°53'09.02"W,3°56'15.04"N,61°54'26.68"W,3°55'56.28"N,59°51'37.94"W,1°50'33.36"N,61°54'33.88"W,1°50'24.58"N,59°51'58.64"W,  2.89266, -60.88584,  3.93751, -61.90741,  3.93230, -59.86054,  1.84260, -61.90941,  1.84016, -59.86629,LC09_L2SP_232058_20220929_20230329_02_T1,LC92320582022272LGN02
LC08_L2SP_231058_20220930_20221005_02_T1,LC08_L1TP_231058_20220930_20221005_02_T1,LC82310582022273LGN00,2022/09/30,T1,2, 231, 058, 231, 058,NADIR,  -0.001,2022/10/05,2022/10/05,2022-09-30 14:11:42,2022-09-30 14:12:14,LGN,DAY,   6.90,   6.90,561,5,    6.261,    4.317,    4.535,LPGS_16.1.0,65.46185190,103.54676121,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'33.40"N,59°20'55.82"W,3°56'12.44"N,60°22'40.08"W,3°56'33.36"N,58°19'33.06"W,1°50'13.24"N,60°22'17.72"W,1°50'22.99"N,58°19'24.28"W,  2.89261, -59.34884,  3.93679, -60.37780,  3.94260, -58.32585,  1.83701, -60.37159,  1.83972, -58.32341,LC08_L2SP_231058_20220930_20221005_02_T1,LC82310582022273LGN00
LC08_L2SP_232058_20221007_20221013_02_T1,LC08_L1TP_232058_20221007_20221013_02_T1,LC82320582022280LGN00,2022/10/07,T1,2, 232, 058, 232, 058,NADIR,  -0.001,2022/10/13,2022/10/13,2022-10-07 14:17:50,2022-10-07 14:18:22,LGN,DAY,  13.40,  13.40,380,5,    8.169,    5.965,    5.582,LPGS_16.1.0,65.21043894,110.12128874,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'33.61"N,60°52'43.46"W,3°56'24.79"N,61°53'57.48"W,3°56'05.96"N,59°51'18.50"W,1°50'23.57"N,61°54'04.75"W,1°50'14.78"N,59°51'39.24"W,  2.89267, -60.87874,  3.94022, -61.89930,  3.93499, -59.85514,  1.83988, -61.90132,  1.83744, -59.86090,LC08_L2SP_232058_20221007_20221013_02_T1,LC82320582022280LGN00
LC09_L2SP_231058_20221008_20230326_02_T1,LC09_L1TP_231058_20221008_20230326_02_T1,LC92310582022281LGN01,2022/10/08,T1,2, 231, 058, 231, 058,NADIR,   0.000,2023/03/26,2023/03/26,2022-10-08 14:11:26,2022-10-08 14:11:58,LGN,DAY,   9.44,   9.44,540,5,    6.488,    4.633,    4.542,LPGS_16.2.0,65.09577930,110.98309106,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,21,WGS84,WGS84,2°53'33.11"N,59°20'08.63"W,3°56'12.62"N,60°21'51.52"W,3°56'33.43"N,58°18'44.42"W,1°50'13.34"N,60°21'29.27"W,1°50'23.03"N,58°18'35.75"W,  2.89253, -59.33573,  3.93684, -60.36431,  3.94262, -58.31234,  1.83704, -60.35813,  1.83973, -58.30993,LC09_L2SP_231058_20221008_20230326_02_T1,LC92310582022281LGN01
LC09_L2SP_232058_20221015_20230325_02_T1,LC09_L1TP_232058_20221015_20230325_02_T1,LC92320582022288LGN01,2022/10/15,T1,2, 232, 058, 232, 058,NADIR,   0.000,2023/03/25,2023/03/25,2022-10-15 14:17:41,2022-10-15 14:18:13,LGN,DAY,  86.17,  86.17,50,5,    8.875,    6.715,    5.804,LPGS_16.2.0,64.47114032,117.06989258,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,20,WGS84,WGS84,2°53'34.30"N,60°53'33.86"W,3°56'15.11"N,61°54'55.87"W,3°55'56.39"N,59°52'07.10"W,1°50'33.36"N,61°55'03"W,1°50'24.61"N,59°52'27.73"W,  2.89286, -60.89274,  3.93753, -61.91552,  3.93233, -59.86864,  1.84260, -61.91750,  1.84017, -59.87437,LC09_L2SP_232058_20221015_20230325_02_T1,LC92320582022288LGN01
LC08_L2SP_231058_20221016_20221021_02_T1,LC08_L1TP_231058_20221016_20221021_02_T1,LC82310582022289LGN00,2022/10/16,T1,2, 231, 058, 231, 058,NADIR,  -0.001,2022/10/21,2022/10/21,2022-10-16 14:11:36,2022-10-16 14:12:08,LGN,DAY,  48.64,  48.64,220,5,    6.874,    4.824,    4.897,LPGS_16.1.0,64.40179630,117.93824181,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'34.62"N,59°19'09.44"W,3°56'12.88"N,60°20'53.23"W,3°56'33.54"N,58°17'46.07"W,1°50'13.45"N,60°20'31.09"W,1°50'23.10"N,58°17'37.46"W,  2.89295, -59.31929,  3.93691, -60.34812,  3.94265, -58.29613,  1.83707, -60.34197,  1.83975, -58.29374,LC08_L2SP_231058_20221016_20221021_02_T1,LC82310582022289LGN00
LC08_L2SP_232058_20221023_20221101_02_T1,LC08_L1TP_232058_20221023_20221101_02_T1,LC82320582022296LGN00,2022/10/23,T1,2, 232, 058, 232, 058,NADIR,  -0.001,2022/11/01,2022/11/01,2022-10-23 14:17:51,2022-10-23 14:18:23,LGN,DAY,  53.77,  53.77,201,5,    8.671,    6.160,    6.102,LPGS_16.1.0,63.44119941,123.26710257,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'33.83"N,60°52'58.44"W,3°56'24.79"N,61°54'16.96"W,3°56'06"N,59°51'28.22"W,1°50'23.57"N,61°54'24.19"W,1°50'14.78"N,59°51'48.96"W,  2.89273, -60.88290,  3.94022, -61.90471,  3.93500, -59.85784,  1.83988, -61.90672,  1.83744, -59.86360,LC08_L2SP_232058_20221023_20221101_02_T1,LC82320582022296LGN00
LC09_L2SP_231058_20221024_20230324_02_T1,LC09_L1TP_231058_20221024_20230324_02_T1,LC92310582022297LGN01,2022/10/24,T1,2, 231, 058, 231, 058,NADIR,   0.000,2023/03/24,2023/03/24,2022-10-24 14:11:32,2022-10-24 14:12:03,LGN,DAY,  75.78,  75.78,236,5,    7.886,    5.379,    5.766,LPGS_16.2.0,63.24730952,123.90889524,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,21,WGS84,WGS84,2°53'34.84"N,59°20'46.90"W,3°56'12.48"N,60°22'30.36"W,3°56'33.40"N,58°19'23.34"W,1°50'13.27"N,60°22'08.04"W,1°50'23.03"N,58°19'14.56"W,  2.89301, -59.34636,  3.93680, -60.37510,  3.94261, -58.32315,  1.83702, -60.36890,  1.83973, -58.32071,LC09_L2SP_231058_20221024_20230324_02_T1,LC92310582022297LGN01
LC09_L2SP_232058_20221031_20230323_02_T1,LC09_L1TP_232058_20221031_20230323_02_T1,LC92320582022304LGN01,2022/10/31,T1,2, 232, 058, 232, 058,NADIR,   0.000,2023/03/23,2023/03/23,2022-10-31 14:17:41,2022-10-31 14:18:12,LGN,DAY,  65.25,  65.25,403,5,    7.706,    5.932,    4.919,LPGS_16.2.0,62.04773691,128.31302515,N/A,OLI_TIRS_L2SP,OLI_TIRS,9,UTM,20,WGS84,WGS84,2°53'33.29"N,60°52'53.11"W,3°56'15.04"N,61°54'07.24"W,3°55'56.24"N,59°51'28.26"W,1°50'33.32"N,61°54'14.47"W,1°50'24.54"N,59°51'48.92"W,  2.89258, -60.88142,  3.93751, -61.90201,  3.93229, -59.85785,  1.84259, -61.90402,  1.84015, -59.86359,LC09_L2SP_232058_20221031_20230323_02_T1,LC92320582022304LGN01
LC08_L2SP_231058_20221101_20221108_02_T1,LC08_L1TP_231058_20221101_20221108_02_T1,LC82310582022305LGN00,2022/11/01,T1,2, 231, 058, 231, 058,NADIR,  -0.001,2022/11/08,2022/11/08,2022-11-01 14:11:43,2022-11-01 14:12:15,LGN,DAY,  57.35,  57.35,161,5,    7.476,    5.250,    5.323,LPGS_16.1.0,61.89636970,128.92019849,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,21,WGS84,WGS84,2°53'33.40"N,59°21'00.94"W,3°56'12.44"N,60°22'40.08"W,3°56'33.36"N,58°19'42.78"W,1°50'13.24"N,60°22'17.72"W,1°50'22.99"N,58°19'34"W,  2.89261, -59.35026,  3.93679, -60.37780,  3.94260, -58.32855,  1.83701, -60.37159,  1.83972, -58.32611,LC08_L2SP_231058_20221101_20221108_02_T1,LC82310582022305LGN00
LC08_L2SP_232058_20221108_20221115_02_T2,LC08_L1GT_232058_20221108_20221115_02_T2,LC82320582022312LGN00,2022/11/08,T2,2, 232, 058, 232, 058,NADIR,  -0.001,2022/11/15,2022/11/15,2022-11-08 14:17:52,2022-11-08 14:18:24,LGN,DAY,  91.34,  91.34,-1,5,    0.000,    0.000,    0.000,LPGS_16.1.0,60.55027450,132.35390316,FINAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,20,WGS84,WGS84,2°53'34.87"N,60°53'23.93"W,3°56'24.83"N,61°54'36.40"W,3°56'06.11"N,59°51'57.35"W,1°50'23.57"N,61°54'43.60"W,1°50'14.86"N,59°52'18.05"W,  2.89302, -60.88998,  3.94023, -61.91011,  3.93503, -59.86593,  1.83988, -61.91211,  1.83746, -59.87168,LC08_L2SP_232058_20221108_20221115_02_T2,LC82320582022312LGN00
